"Users" "LAYING" "SITTING" "STANDING" "WALKING" "WALKING_DOWNSTAIRS" "WALKING_UPSTAIRS"
1 -0.323455253253035 -0.313691418644093 -0.329807395695265 -0.0630281109061124 -0.0227044159765262 -0.220061320256538
2 -0.317686797023163 -0.332289072198594 -0.347433790181932 -0.114179113927288 -0.021518448934593 -0.144330765632429
3 -0.329311704899499 -0.337448385755142 -0.384822561319684 -0.146723905436615 -0.103690683953899 -0.216545041515258
4 -0.34160939193638 -0.347624027590802 -0.36110914717926 -0.173496321021866 -0.0988793667126918 -0.203624453184834
5 -0.325751986313871 -0.338854038692547 -0.352433460987085 -0.132745736101558 -0.0521627994884519 -0.137445683332812
6 -0.32681358320484 -0.334233410700225 -0.362837071733135 -0.0677195579213005 0.0511985046698053 -0.110811657701057
7 -0.377964989394862 -0.357370992429026 -0.377407962870003 -0.0592378069358638 -0.0701428743766744 -0.235367230509331
8 -0.338572138418502 -0.338990206451904 -0.34725086733 -0.0670888205112713 0.0659086394850801 -0.0689728571630488
9 -0.400077234567633 -0.381660350246548 -0.372340404657589 -0.132786255297149 -0.0786924504722293 -0.232108556687312
10 -0.349423254106792 -0.326660018306513 -0.354962717830232 -0.0652096764060016 -0.00442432269108867 -0.115595270991491
11 -0.321084181643608 -0.331985684395492 -0.331725608296725 -0.196414997599323 -0.119360970381692 -0.262133168140511
12 -0.346181298277446 -0.353779184962101 -0.362666108594095 -0.091708818104787 -0.0524341572216453 -0.206513131694093
13 -0.341344902939119 -0.330858580124843 -0.359154129274603 -0.0675962994753852 -0.0625505042151411 -0.220902352389356
14 -0.377265864033589 -0.382171703951118 -0.398158087615395 -0.176905868079623 -0.00111780631937198 -0.13868853938248
15 -0.354966955685652 -0.334594978376134 -0.357778642157298 -0.155127158995542 -0.0514333056068116 -0.189224013411902
16 -0.374652594175958 -0.328204314246887 -0.353599522584432 -0.195749442473649 -0.108160625031716 -0.256430536143018
17 -0.333323148411336 -0.328937096755581 -0.352972202502985 -0.160637552856418 -0.14430955806405 -0.208641784946765
18 -0.312289482637439 -0.318274278171631 -0.374013642466282 -0.191340848872038 -0.224655163055323 -0.294677557125408
19 -0.336521050026196 -0.364593055786933 -0.369777101991605 0.0193714028414638 0.152106171415608 -0.0744350219336087
20 -0.338680906715466 -0.360149804951215 -0.390487822284347 -0.0152130858894382 -0.0426216866121106 -0.138964047852369
21 -0.360589121557953 -0.331014534499616 -0.373048346293693 -0.0935903698167906 -0.0607364914295217 -0.167376030995352
22 -0.345641750360736 -0.357673425898776 -0.393873956237729 -0.0163046320096281 -0.0374532138368907 -0.0748459279489079
23 -0.328695705480551 -0.326986781974775 -0.370885718577967 -0.00726042065063743 0.0676473466021498 -0.144753856021628
24 -0.326176010211612 -0.34642396963292 -0.364219969740352 -0.168077657787642 -0.112410649704063 -0.225095786238806
25 -0.363519656731927 -0.335985118396498 -0.354197728347236 -0.246661072710514 -0.224377870277515 -0.31043705369092
26 -0.318769345038517 -0.340035586434099 -0.353042357331369 -0.13122968824122 -0.0919334216449778 -0.188857486108154
27 -0.313654168217271 -0.331878071444913 -0.347472128111366 -0.131790576608037 -0.0581367032684807 -0.228366968772251
28 -0.392117040968059 -0.365960142901893 -0.391193107299444 -0.164250204651477 -0.034829232377698 -0.183628654099186
29 -0.294719413445851 -0.325083252667989 -0.33979830394222 -0.0895429566761456 -0.0733890880827423 -0.186137887428199
30 -0.352035935159907 -0.352289154001121 -0.39385718199293 -0.143775220223752 -0.131559644622809 -0.276024002220579
